cylinder,row_idx,col_idx,rpm,tps_pct,ve_base,ve_new,delta,delta_pct
front,11,4,3000,10,101.00,103.92,+2.927,+2.90
front,11,5,3000,15,105.24,108.20,+2.962,+2.81
front,11,10,3000,60,83.76,86.27,+2.513,+3.00
front,12,2,3500,5,102.85,99.76,-3.085,-3.00
front,12,3,3500,7.3,105.19,103.71,-1.484,-1.41
front,12,5,3500,15,119.50,117.41,-2.094,-1.75
front,12,7,3500,25,121.79,118.71,-3.083,-2.53
front,12,9,3500,40,98.66,100.81,+2.150,+2.18
front,13,0,4000,0,98.50,97.10,-1.400,-1.42
front,13,1,4000,2.3,95.50,97.13,+1.627,+1.70
front,13,3,4000,7.3,104.41,105.23,+0.818,+0.78
